Contacto,Respuesta:,Pregunta,Tiempo
+54 9 247 001-8888,si,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:14:38
+54 9 247 001-1111,si,['⓶ -¿Seguirías estudiando un postgrado en el área de Recursos Humanos? #- Enviá *Si* #- Enviá *No*'],07:15:04
+54 9 247 001-2222, metele,"['Excelente, continuamos!  #- Si te interesaría *continuar* con una  una *Maestría*  envía ☛ *M* #- Si es una Especialización envía ☛ *E* #- Si es un Curso envía ☛ *C*']",07:15:30
+54 9 247 001-1111, okey,"['Excelente, continuamos!  #- Si te interesaría *continuar* con una  una *Maestría*  envía ☛ *M* #- Si es una Especialización envía ☛ *E* #- Si es un Curso envía ☛ *C*']",07:17:03
+54 9 247 001-2222,especialización,"['Muchas gracias, te mantendremos al tanto de novedades en Maestrias. #Continuamos con la siguiente pregunta ✑ ⓷ - Según tu experiencia; ¿Cuál es el *seminario* que ofrece *mayor* dificultad al momento de preparar el examen y cuál es el que ofrece *menor* dificultad?']",07:17:33
+54 9 247 001-8888, dale,"['Excelente. Comencemos con las preguntas: ☞ ⓵  ¿Cuál es para vos, el seminario del Ciclo de Licenciatura en Gestión de RR. HH. que otorga mayores herramientas para tu desempeño laboral y cuál es el que *No* otorga nada?']",07:18:15
+54 9 247 001-9999, terminamos,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:18:43
+54 9 247 001-1111, dale,"['Muchas gracias, te mantendremos al tanto de novedades en Especializaciones. #Continuamos con la siguiente pregunta ✑ ⓷ - Según tu experiencia; ¿Cuál es el *seminario* que ofrece *mayor* dificultad al momento de preparar el examen y cuál es el que ofrece *menor* dificultad?']",07:19:13
+54 9 247 001-2222, dale,['#Muchas gracias por tu respuesta. Continuamos con la pregunta siguiente:# ⓸ - ¿Te resulta *amigable* y *útil* la página web de la FUNPEI? #- Muy amigable envía: *MA* #- Poco amigable envía: *PA* #- Nada amigable envía: *NA*'],07:19:42
+54 9 247 001-8888,si,['⓶ -¿Seguirías estudiando un postgrado en el área de Recursos Humanos? #- Enviá *Si* #- Enviá *No*'],07:20:26
+54 9 247 001-9999, terminamos,['No comprendo tu respuesta. ☹ #Por favor ingresá alguna de las opciones siguientes: #- Envía *Si* para continuar.  #- Envía *No* para detener la encuesta. #-Envía *Terminar* para finalizar la encuesta. Recordá que podes ingresar la letra o la palabra solicitada para continuar con la encuesta.'],07:20:56
+54 9 247 001-1111, maestría,['#Muchas gracias por tu respuesta. Continuamos con la pregunta siguiente:# ⓸ - ¿Te resulta *amigable* y *útil* la página web de la FUNPEI? #- Muy amigable envía: *MA* #- Poco amigable envía: *PA* #- Nada amigable envía: *NA*'],07:21:25
+54 9 247 001-8888, okey,"['Excelente, continuamos!  #- Si te interesaría *continuar* con una  una *Maestría*  envía ☛ *M* #- Si es una Especialización envía ☛ *E* #- Si es un Curso envía ☛ *C*']",07:21:57
+54 9 247 001-8888,si,"['Muchas gracias, te mantendremos al tanto de novedades en Especializaciones. #Continuamos con la siguiente pregunta ✑ ⓷ - Según tu experiencia; ¿Cuál es el *seminario* que ofrece *mayor* dificultad al momento de preparar el examen y cuál es el que ofrece *menor* dificultad?']",07:24:37
+54 9 247 001-8888, maestría,['#Muchas gracias por tu respuesta. Continuamos con la pregunta siguiente:# ⓸ - ¿Te resulta *amigable* y *útil* la página web de la FUNPEI? #- Muy amigable envía: *MA* #- Poco amigable envía: *PA* #- Nada amigable envía: *NA*'],07:43:20
